sample_ID	Hs62711.3	A_23_P88489	A_32_P122703	A_24_P355626	A_24_P838448	A_23_P386	A_24_P413884	A_23_P24515	A_23_P338578	A_23_P207742	A_23_P152234	A_32_P88479	A_23_P396765	A_23_P361544	A_23_P427083	A_23_P96325	A_23_P18422	Hs103724.1	A_23_P131866	A_23_P112883	A_23_P212844	A_23_P161918	A_23_P5422	A_23_P89310	A_23_P208779	A_23_P382	A_23_P385861	A_23_P417144	A_32_P180315
NB001	7.9	9.96	9.71	9.84	11.46	12.91	10.96	13.08	7.1	15.33	6.54	15.24	11.51	7.98	9.89	10.28	12.69	11.61	11.43	11.76	10.89	12.66	8.39	14.18	7.29	13.51	11.29	13.08	9.25
NB003	9.76	9.83	10.3	10.66	10.33	11.75	11.12	14.45	7.03	14.46	6.27	14.29	11.44	6.77	10.32	9.73	13.28	11.47	11.54	11.39	11.15	12.67	8.47	13.99	6.48	12.23	11.22	13.17	9.14
NB005	9.06	9.26	10.77	9.96	11.34	11.99	10.75	14.27	5.59	14.55	5.69	14.67	11.95	6.92	10.16	9.87	13.22	11.79	11.32	11.48	11.97	12.61	8.72	13.88	7.98	12.73	11.1	13.58	9.1
NB011	6.45	10.2	12.33	10.66	13.65	14.13	8.08	14.17	7.39	16.5	6.43	15.85	13.95	8.48	11.06	6.84	11.87	14.08	9.53	12.16	9.87	11.41	9.55	15.23	10.8	14.98	9.01	13.71	9.52
NB013	6.15	11.41	9.92	8.12	13.06	13.12	8.79	13.22	7.07	15.18	7.61	14.18	11.03	7.95	8.5	7.55	11.7	13.01	10.07	12.32	9.94	11.39	9.9	13.75	7.76	13.84	8.6	12.24	9.14
NB017	6.34	10.9	12.89	11.33	13.85	14.35	8.15	14.13	7.59	16.24	6.64	15.63	14.46	8.32	11.39	7.66	12.11	13.98	9.79	12.64	9	11.25	10.23	15.13	10.33	14.88	8.76	14.36	9.34
NB019	6.8	10.53	12.35	10.42	12.11	13.83	9.87	13.22	7.41	16.49	6.88	15.94	14.07	8.55	10.75	8.42	11.95	12.79	10.89	13.03	11.21	11.75	9.79	15.19	10.9	14.51	11.17	13.66	9.28
NB021	6.36	9.78	13.03	10.84	12.4	12.76	7.48	14.11	6.88	15.44	5.54	16.05	14.24	8.57	10.47	6.95	11.86	13.77	8.71	11.53	10.09	11.83	9.12	13.1	9.53	13.26	7.95	12.08	8.55
NB023	7.05	10.65	12.71	11.63	12.98	13.58	7	14.28	7.81	15.96	6.19	16.08	13.83	8.62	10.7	6.66	11.82	13.47	8.4	12.07	8.88	12	9.63	14.57	9.28	14.27	7.72	13.43	8.76
NB025	6.31	10	12.8	11.56	12.49	13.34	8.45	14.68	6.11	16.53	5.96	16.52	14.06	9.03	10.32	6.94	11.7	13.81	9.26	12.16	9.44	11.55	10.12	14.63	8.07	14.27	8.51	12.97	8.83
NB027	6.59	10.52	12.25	10.72	13.38	13.81	8.14	13.84	7.23	16.34	6.23	15.77	13.29	8.61	10.82	7.75	11.7	12.92	9.32	12.49	9.67	11.68	10.22	14.83	10.04	14.67	8.49	13.86	9.13
NB029	7.48	9.07	13.79	10.43	12.7	13.89	8.2	13.45	7.44	15.94	6.38	16.48	14.83	7.23	10.98	7.36	12.02	12.19	9.15	12.01	9.08	12.71	9.26	14.64	9.77	14.51	8.3	13.47	8.64
NB031	7.29	8.88	13.37	11.79	13.55	13.16	7.88	14.82	7.26	16.86	6.3	15.92	14.54	7.94	11.04	7.38	11.77	12.97	8.97	13.56	8.97	11.96	8.89	15.01	9.79	13.89	9.23	13.47	9.49
