sample_ID	Hs62711.3	A_23_P88489	A_32_P122703	A_24_P355626	A_24_P838448	A_23_P386	A_24_P413884	A_23_P24515	A_23_P338578	A_23_P207742	A_23_P152234	A_32_P88479	A_23_P396765	A_23_P361544	A_23_P427083	A_23_P96325	A_23_P18422	Hs103724.1	A_23_P131866	A_23_P112883	A_23_P212844	A_23_P161918	A_23_P5422	A_23_P89310	A_23_P208779	A_23_P382	A_23_P385861	A_23_P417144	A_32_P180315
NB002	10	9.14	10.58	10.6	14.58	12.88	10.38	13.45	6.25	14.88	6.13	15.65	12.35	7.36	9.91	10.33	12.31	11.95	11.64	11.41	11.19	12.48	7.85	14	10.32	13.49	10.61	12.88	8.07
NB006	8.36	9.92	11.69	11.04	12.29	13.44	11.37	13.99	7.01	15.25	6.65	15.14	12.71	6.83	10.77	10.14	12.16	13.84	11.28	12.1	11.28	11.88	9.61	15.36	9.77	14.07	11.6	13.86	7.62
NB010	10.11	9.11	10.82	10.46	10.53	11.46	10.9	14.48	5.95	15.03	6.23	14.73	12.5	7.01	10.63	9.91	13.54	10.82	12.15	11.74	11.59	13.08	8.68	14.08	8.12	12.5	11.78	13.47	9.45
NB012	6.78	10.91	13.15	11.86	14.07	12.44	9.04	13.1	8.21	16.32	5.23	16.09	12.96	8.62	11.28	8.15	12.03	13.4	10.8	12.14	9.96	12.06	10.47	15.23	10.38	14.61	9.58	14.04	9.19
NB014	6.1	9.76	12.96	11.54	12.91	13.87	6.83	14.14	6.7	15.71	6.29	16.24	14.32	8.06	10.4	6.65	11.57	13.65	8.77	13.11	8.71	11.77	10.49	14.17	10.21	14.48	7.31	12.67	8.69
NB016	7.93	10.01	12.68	11.57	13.23	14	7.58	13.86	8.06	14.97	7.03	15.08	13.79	8.45	10.8	7.37	12.97	13.56	8.94	12.8	8.6	11.7	9.18	14.33	9.15	14.09	7.6	12.41	9.77
NB018	6.97	9.37	13.64	11.88	12.02	13.73	8.68	14.94	8.32	16.06	6.24	16.33	14.36	8.04	10.33	7.71	12.06	14.19	10.08	12.49	9.67	12.01	9.17	15.16	11.1	14.2	9.33	13.17	8.74
NB020	6.79	10.8	12.42	11.31	13.1	13.68	8.01	14.22	7.59	15.63	6.34	15.57	13.83	7.93	10.21	7.2	12.06	12.76	9.09	12.74	10.28	11.57	10.04	14.91	9.82	14.15	8.9	13.31	9.41
NB022	7.42	9.2	12.33	11.29	12.34	14.3	8.75	14.6	6.92	16.22	6.05	16.38	13.65	8.27	10.6	7.78	12.03	13.71	9.2	11.59	9.66	12.56	9.63	15.23	9.03	15.15	8.42	13.18	8.97
NB028	7.04	10.47	12.81	11.47	14.32	14.16	9.18	14.45	8.77	16.82	7.51	15.71	13.82	8.77	11.4	8.08	11.64	13.75	9.43	12.98	10.04	11.05	10.31	15.84	10.75	14.96	10.15	14.43	9.7
NB030	7.18	10.31	12.99	11.79	13.08	13.79	9.8	14.73	8.65	16.65	6.32	16.52	14.37	8.64	10.9	7.94	11.96	12.82	10.24	12.58	10.23	11.32	9.26	15.16	10.09	14.42	9.46	13.86	9.38
NB032	6.73	10.5	12.92	11.36	13.05	13.58	7.17	14.35	7.82	15.4	5.82	15.91	14.18	7.97	10.59	6.92	11.7	13.19	8.89	12.74	9.27	12.1	9.69	14.62	9.24	14.11	8.03	13.06	8.84
NB034	7.7	8.99	12.33	10.75	12.19	14.25	9.31	13.43	7	15.73	6.47	15.1	13.77	7.95	10.2	7.79	12.51	12.84	9.22	12.3	9.34	12.04	9.28	14.8	8.91	15.04	8.24	12.7	9.44
NB036	6.12	10.06	13.09	11.53	14.07	13.14	7.47	15.01	8.58	15.82	6.6	16.3	14.47	7.69	9.94	6.51	11.86	14.55	8.97	12.86	8.95	11.89	9.75	15.39	9.5	13.88	8.21	12.71	9.84
NB038	6.72	10.08	12.62	11.23	13.2	13.6	8.18	14.15	6.74	15.98	6.34	16.17	14.45	9.24	10.66	7.46	12.26	13.18	9.73	12.95	9.49	12.36	10.28	14.79	11.12	14.33	9.11	13.56	9.33
NB042	6.44	9.89	12.48	11.52	12.25	13.11	6.99	14.24	7.25	15.5	6.45	16.42	13.38	7.94	10.08	6.56	11.61	14	8.45	13.33	8.43	11.98	9.85	14.4	10.14	13.86	7.4	12.37	8.83
NB044	6.6	11.56	12.91	11.65	13.41	13.75	8.41	14.11	8.8	16.82	7.12	16.26	14.24	9.26	11.19	7.27	11.6	14.11	9.84	12.62	8.87	12.09	10.12	15.68	10.4	14.55	8.65	14.16	9.86
